id,annotation_id,elementid
685,5563,"[["""", ""clause""], [""type"", ""sealing""]]"
686,5564,"[["""", ""clause""], [""type"", ""narration""]]"
688,5566,"[["""", ""clause""], [""type"", ""sealing""]]"
689,5567,"[["""", ""clause""], [""type"", ""warrandice""]]"
690,5568,"[["""", ""clause""], [""type"", ""notification""]]"
691,5569,"[["""", ""clause""], [""type"", ""narration""]]"
692,5570,"[["""", ""clause""], [""type"", ""address""]]"
693,5571,"[["""", ""clause""], [""type"", ""salutation""]]"
694,5572,"[["""", ""clause""], [""type"", ""notification""]]"
695,5573,"[["""", ""clause""], [""type"", ""address""]]"
696,5574,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
698,5576,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
699,5577,"[["""", ""clause""], [""type"", ""address""]]"
700,5578,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
701,5579,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-me""]]"
705,5583,"[["""", ""clause""], [""type"", ""address""]]"
706,5586,"[["""", ""clause""], [""type"", ""address""]]"
707,5587,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
708,5588,"[["""", ""clause""], [""type"", ""notification""]]"
709,5589,"[["""", ""clause""], [""type"", ""address""]]"
712,5592,"[["""", ""clause""], [""type"", ""address""]]"
713,5593,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
658,5525,"[["""", ""clause""], [""type"", ""notification""]]"
644,5516,"[["""", ""clause""], [""type"", ""intitulatio""]]"
665,5537,"[["""", ""clause""], [""type"", ""salutation""]]"
655,5522,"[["""", ""clause""], [""type"", ""intitulatio""]]"
656,5523,"[["""", ""clause""], [""type"", ""salutation""]]"
664,5536,"[["""", ""clause""], [""type"", ""intitulatio""]]"
683,5561,"[["""", ""clause""], [""type"", ""notification""]]"
666,5538,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""noueritis-quod""]]"
687,5565,"[["""", ""clause""], [""type"", ""witnesses""]]"
710,5590,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem-in-domino""]]"
651,5517,"[["""", ""clause""], [""type"", ""salutation""]]"
703,5581,"[["""", ""clause""], [""type"", ""salutation""]]"
697,5575,"[["""", ""clause""], [""type"", ""address""]]"
640,5455,"[["""", ""clause""], [""type"", ""notification""]]"
34,2562,"[["""", ""clause""], [""type"", ""intitulatio""], [""@text"", ""m-rex-scot""]]"
47,2576,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
859,6181,"[["""", ""clause""], [""type"", ""holding""]]"
953,7853,"[["""", ""clause""], [""type"", ""disposition""]]"
134,3038,"[["""", ""clause""], [""type"", ""witnesses""]]"
714,5594,"[["""", ""clause""], [""type"", ""intitulatio""]]"
138,3044,"[["""", ""clause""], [""type"", ""disposition""]]"
1007,16874,"[["""", ""person""], [""type"", ""title""], [""@text"", ""ius-tic""]]"
856,6178,"[["""", ""clause""], [""type"", ""address""]]"
857,6154,"[["""", ""clause""], [""type"", ""disposition""]]"
858,6180,"[["""", ""clause""], [""type"", ""witnesses""]]"
143,3051,"[["""", ""clause""], [""type"", ""disposition""]]"
860,6182,"[["""", ""clause""], [""type"", ""disposition""]]"
1009,18159,"[["""", ""clause""], [""type"", ""address""]]"
875,7026,"[["""", ""clause""], [""type"", ""intitulatio""]]"
861,6183,"[["""", ""clause""], [""type"", ""disposition""]]"
154,3070,"[["""", ""clause""], [""type"", ""disposition""]]"
862,6184,"[["""", ""clause""], [""type"", ""holding""]]"
876,7027,"[["""", ""clause""], [""type"", ""address""]]"
863,6516,"[["""", ""clause""], [""type"", ""address""]]"
866,6519,"[["""", ""clause""], [""type"", ""disposition""]]"
868,6731,"[["""", ""clause""], [""type"", ""intitulatio""]]"
179,3111,"[["""", ""clause""], [""type"", ""address""]]"
1010,18160,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
137,3041,"[["""", ""clause""], [""type"", ""address""]]"
139,3045,"[["""", ""clause""], [""type"", ""witnesses""], [""@text"", ""testis""]]"
144,3052,"[["""", ""clause""], [""type"", ""witnesses""]]"
877,7028,"[["""", ""clause""], [""type"", ""notification""]]"
864,6517,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
865,6518,"[["""", ""clause""], [""type"", ""witnesses""]]"
867,6727,"[["""", ""clause""], [""type"", ""intitulatio""]]"
869,6977,"[["""", ""clause""], [""type"", ""witnesses""]]"
870,6978,"[["""", ""clause""], [""type"", ""notification""], [""@text"", ""sciatis-quod""]]"
871,6976,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
872,6979,"[["""", ""clause""], [""type"", ""prohibition""]]"
873,6980,"[["""", ""clause""], [""type"", ""address""]]"
874,6981,"[["""", ""clause""], [""type"", ""disposition""]]"
878,7029,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
879,7030,"[["""", ""clause""], [""type"", ""witnesses""]]"
880,7031,"[["""", ""clause""], [""type"", ""holding""]]"
1012,18162,"[["""", ""clause""], [""type"", ""address""]]"
1015,18165,"[["""", ""clause""], [""type"", ""address""]]"
1011,18161,"[["""", ""clause""], [""type"", ""intitulatio""], [""@text"", ""w-rex-scott""]]"
1016,18166,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1017,18167,"[["""", ""clause""], [""type"", ""address""]]"
1018,18168,"[["""", ""clause""], [""type"", ""address""]]"
1019,18169,"[["""", ""clause""], [""type"", ""address""]]"
1020,18170,"[["""", ""clause""], [""type"", ""intitulatio""]]"
1021,18171,"[["""", ""clause""], [""type"", ""salutation""], [""@text"", ""salutem""]]"
1022,18172,"[["""", ""clause""], [""type"", ""address""]]"
